"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Anastasios Donis","Reims","GRE","FW","MF",24,1996,13,370,28,10.8,3,51,0,10,22,1.08,5,4,13846,720000
"Ander Herrera","Paris S-G","ESP","MF",NA,31,1989,19,1091,57,31.9,12,82,5,7,15,2.63,28,11,150000,7800000
"Andrew Gravillon","Reims","GLP","DF",NA,23,1998,26,2135,82,62.4,24,87,18,2,23,1.31,26,26,1731,90000
"Andy Delort","Nice","ALG","FW",NA,29,1991,32,2448,77,71.6,26,87,21,6,31,1.66,33,30,9231,480000
"Ángel Di María","Paris S-G","ARG","FW",NA,33,1988,26,1645,63,48.1,19,79,4,7,20,2.12,39,13,253846,13200000
"Angel Gomes","Lille","ENG","MF","FW",20,2000,24,954,40,27.9,12,61,0,12,18,1.63,17,13,13654,710000
"Angelo Fulgini","Angers","FRA","MF","FW",24,1996,36,2929,81,85.6,35,83,13,1,8,0.97,40,48,8846,460000
"Anthony Caci","Strasbourg","FRA","DF",NA,24,1997,37,2395,65,70,26,85,19,11,16,1.68,39,24,577,30000
"Arber Zeneli","Reims","KVX","FW",NA,26,1995,9,409,45,12,4,62,0,5,32,1.56,8,7,13462,7e+05
"Arial Mendy","Clermont Foot","SEN","DF","FW",26,1994,18,792,44,23.2,9,73,2,9,15,0.94,6,20,3077,160000
"Arkadiusz Milik","Marseille","POL","FW",NA,27,1994,23,1416,62,41.4,15,82,5,8,22,1.7,20,14,92308,4800000
"Armand Lauriente","Lorient","FRA","FW","MF",22,1998,35,2477,71,72.4,28,81,5,7,28,1,26,40,4808,250000
"Arnaud Kalimuendo","Lens","FRA","FW",NA,19,2002,32,2148,67,62.8,27,75,5,5,26,1.72,40,28,7692,4e+05
"Arnaud Nordin","Saint-Étienne","FRA","FW","MF",23,1998,36,1874,52,54.8,20,70,3,16,30,0.89,26,41,11154,580000
