"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,22,2,2,0,0,0,0,0,0,32,1,0,0,1,100
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,22,2,2,0,0,0,0,0,0,822,17,15,88.2,2,11.8
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,679,15,15,1,3,1,0,0,2,32,1,0,0,1,100
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,679,15,15,1,3,1,0,0,2,822,17,15,88.2,2,11.8
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,679,15,15,1,3,1,0,0,2,32,1,0,0,1,100
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,679,15,15,1,3,1,0,0,2,822,17,15,88.2,2,11.8
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,22,2,2,0,0,0,0,0,0,32,1,0,0,1,100
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,22,2,2,0,0,0,0,0,0,822,17,15,88.2,2,11.8
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,679,15,15,1,3,1,0,0,2,32,1,0,0,1,100
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,679,15,15,1,3,1,0,0,2,822,17,15,88.2,2,11.8
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,679,15,15,1,3,1,0,0,2,32,1,0,0,1,100
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,679,15,15,1,3,1,0,0,2,822,17,15,88.2,2,11.8
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,22,2,2,0,0,0,0,0,0,32,1,0,0,1,100
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,19,0,0,0,21,24,87.5,12,14,85.7,1,1,100,7,7,100,2,0,0,22,2,2,0,0,0,0,0,0,822,17,15,88.2,2,11.8
"Axel Disasi","Reims","FRA","DF",NA,21,42,114,3,1270,1507,84.3,347,389,89.2,195,306,63.7,716,781,91.7,5,8,0,1468,36,29,2,17,4,7,0,3,1759,8,4,50,4,50
"Bafodé Diakité","Toulouse","FRA","DF",NA,18,9,43,3,568,663,85.7,246,264,93.2,43,87,49.4,276,301,91.7,1,3,1,621,42,22,0,3,6,20,0,0,820,6,4,66.7,2,33.3
