"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"James Maddison","Leicester City","ENG","MF",NA,23,5,13,0,0,75,23,30.7,0.11,0.35,24.7,13,113,63,50,10,8,2
"James McArthur","Crystal Palace","SCO","MF",NA,32,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,23,21,2,3,3,0
"James McCarthy","Crystal Palace","IRL","MF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,11,9,2,1,0,1
"James Milner","Liverpool","ENG","MF","DF",34,1,1,0,0,12,3,25,0,0,24.8,0,27,22,5,1,0,1
"James Rodríguez","Everton","COL","FW","MF",29,4,10,0,0,37,18,48.6,0.16,0.33,20.7,4,72,46,26,13,8,5
"James Tarkowski","Burnley","ENG","DF",NA,27,0,1,0,0,22,5,22.7,0.05,0.2,9.2,0,29,20,9,0,0,0
"James Tomkins","Crystal Palace","ENG","DF",NA,31,0,0,0,0,2,1,50,0,0,9.9,0,3,2,1,0,0,0
"James Ward-Prowse","Southampton","ENG","MF",NA,25,7,15,4,3,39,20,51.3,0.13,0.25,26.8,20,105,53,52,12,5,7
"Jamie Shackleton","Leeds United","ENG","MF","DF",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,8,0,1,1,0
"Jamie Vardy","Leicester City","ENG","FW",NA,33,9,24,9,8,73,28,38.4,0.1,0.25,14.4,0,64,39,25,20,9,11
"Jan Bednarek","Southampton","POL","DF",NA,24,1,2,0,0,10,5,50,0.1,0.2,10.6,0,21,16,5,2,2,0
"Jannik Vestergaard","Southampton","DEN","DF",NA,27,0,3,0,0,23,8,34.8,0.13,0.38,11.9,0,28,24,4,4,2,2
"Japhet Tanganga","Tottenham","ENG","DF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,0
"Jarrod Bowen","West Ham","ENG","FW","MF",23,5,13,0,0,55,16,29.1,0.15,0.5,16.4,0,79,42,37,12,7,5
"Javier Manquillo","Newcastle Utd","ESP","DF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,11,10,1,0,0,0
"Jay Rodriguez","Burnley","ENG","FW",NA,31,2,3,0,0,31,9,29,0.03,0.11,17.1,0,25,18,7,3,3,0
"Jayden Bogle","Sheffield Utd","ENG","DF","MF",20,0,2,0,0,17,7,41.2,0.12,0.29,13.1,0,12,7,5,0,0,0
"Jayson Molumby","Brighton","IRL","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jean-Philippe Gbamin","Everton","CIV","MF",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jean-Philippe Mateta","Crystal Palace","FRA","FW",NA,23,0,1,0,0,4,2,50,0.25,0.5,10.6,0,3,2,1,0,0,0
"Jeff Hendrick","Newcastle Utd","IRL","MF",NA,28,1,3,0,0,10,2,20,0.2,1,18.7,0,20,18,2,4,4,0
"Jeffrey Schlupp","Crystal Palace","GHA","MF",NA,27,3,5,0,0,18,10,55.6,0.11,0.2,14.3,0,35,29,6,5,4,1
"Jesse Lingard","West Ham","ENG","MF","FW",27,4,13,2,1,40,20,50,0.2,0.4,21.4,1,63,46,17,12,6,6
"Jimmy Dunne","Burnley","IRL","DF",NA,22,0,1,0,0,7,1,14.3,0.14,1,11.5,0,3,3,0,0,0,0
"Joachim Andersen","Fulham","DEN","DF",NA,24,1,2,0,0,13,3,23.1,0.08,0.33,16.4,1,30,28,2,3,3,0
"João Cancelo","Manchester City","POR","DF","MF",26,3,5,0,0,35,11,31.4,0.06,0.18,22.5,0,82,64,18,12,8,4
"João Moutinho","Wolves","POR","MF",NA,33,1,2,0,0,14,4,28.6,0.07,0.25,23.7,1,96,62,34,6,3,3
"João Virgínia","Everton","POR","GK",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Joe Bryan","Fulham","ENG","DF","MF",26,0,1,0,0,8,2,25,0.13,0.5,21.9,1,21,13,8,1,0,1
"Joe Gomez","Liverpool","ENG","DF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Joe Rodon","Tottenham","WAL","DF",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Joe Willock","Newcastle Utd","ENG","MF",NA,20,0,8,1,0,18,12,66.7,0.44,0.67,14.2,0,28,17,11,3,1,2
"Joe Willock","Newcastle Utd","ENG","MF",NA,20,0,8,1,0,18,12,66.7,0.44,0.67,14.2,0,9,6,3,0,0,0
"Joe Willock","Arsenal","ENG","MF",NA,20,0,0,0,0,18,12,66.7,0.44,0.67,14.2,0,28,17,11,3,1,2
"Joe Willock","Arsenal","ENG","MF",NA,20,0,0,0,0,18,12,66.7,0.44,0.67,14.2,0,9,6,3,0,0,0
"Joël Matip","Liverpool","CMR","DF",NA,28,2,3,0,0,5,2,40,0.2,0.5,7.3,0,6,5,1,2,1,1
"Joel Mumbongo","Burnley","SWE","FW",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Joël Veltman","Brighton","NED","DF",NA,28,1,2,0,0,14,4,28.6,0.07,0.25,16.1,0,51,33,18,1,1,0
"Joel Ward","Crystal Palace","ENG","DF",NA,30,1,1,0,0,2,1,50,0,0,26.2,0,19,18,1,1,1,0
"Joelinton","Newcastle Utd","BRA","FW","MF",23,2,6,1,1,43,19,44.2,0.07,0.16,15.4,0,54,33,21,7,3,4
"Jóhann Berg Guðmundsson","Burnley","ISL","MF",NA,29,0,2,0,0,19,8,42.1,0.11,0.25,21.5,1,27,22,5,0,0,0
"John Egan","Sheffield Utd","IRL","DF",NA,27,1,1,0,0,14,3,21.4,0,0,11.9,0,16,15,1,1,1,0
"John Fleck","Sheffield Utd","SCO","MF",NA,28,2,2,0,0,17,5,29.4,0,0,24.6,0,72,51,21,3,2,1
"John Lundstram","Sheffield Utd","ENG","MF",NA,26,2,2,1,0,19,4,21.1,0,0,23.8,1,50,41,9,5,4,1
"John McGinn","Aston Villa","SCO","MF",NA,25,5,8,0,0,45,11,24.4,0.07,0.27,23.7,0,120,98,22,15,10,5
"John Ruddy","Wolves","ENG","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"John Stones","Manchester City","ENG","DF",NA,26,0,4,0,0,15,5,33.3,0.27,0.8,13.9,0,18,15,3,2,2,0
"Jonjo Shelvey","Newcastle Utd","ENG","MF",NA,28,3,4,0,0,42,9,21.4,0.02,0.11,24.3,11,72,39,33,8,4,4
"Jonjoe Kenny","Everton","ENG","DF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Jonny Castro","Wolves","ESP","MF","DF",26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0
"Jonny Evans","Leicester City","NIR","DF",NA,32,2,4,0,0,8,3,37.5,0.25,0.67,7.8,0,19,19,0,4,4,0
"Jordan Ayew","Crystal Palace","GHA","FW","MF",28,3,4,0,0,26,11,42.3,0.04,0.09,17.6,0,39,26,13,7,5,2
"Jordan Henderson","Liverpool","ENG","MF","DF",30,1,2,0,0,14,4,28.6,0.07,0.25,19.1,0,36,31,5,4,3,1
"Jordan Pickford","Everton","ENG","GK",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,3,3,2,2,0
"Jorginho","Chelsea","ITA","MF",NA,28,1,8,9,7,NA,NA,NA,NA,NA,NA,NA,54,53,1,2,2,0
"José Izquierdo","Brighton","COL","DF",NA,28,0,0,0,0,1,1,100,0,0,32.6,0,1,1,0,0,0,0
"Josh Benson","Burnley","ENG","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Josh Brownhill","Burnley","ENG","MF",NA,24,1,1,0,0,34,7,20.6,0,0,21.9,7,59,45,14,5,4,1
"Josh Maja","Fulham","NGA","FW",NA,21,0,3,1,1,20,7,35,0.1,0.29,14.3,0,19,14,5,0,0,0
"Josh Onomah","Fulham","ENG","MF",NA,23,0,0,0,0,6,1,16.7,0,0,17.9,0,8,7,1,0,0,0
"Joshua King","Everton","NOR","MF","FW",28,0,0,0,0,3,1,33.3,0,0,13.8,0,2,1,1,0,0,0
"Juan Mata","Manchester Utd","ESP","FW","MF",32,2,3,1,1,4,3,75,0,0,21.5,0,20,14,6,5,3,2
"Kai Havertz","Chelsea","GER","MF","FW",21,3,7,0,0,33,16,48.5,0.12,0.25,13.1,0,49,42,7,7,5,2
"Kalvin Phillips","Leeds United","ENG","MF",NA,24,2,3,0,0,15,5,33.3,0.07,0.2,27.5,3,70,41,29,2,2,0
"Kamil Grosicki","West Brom","POL","MF","FW",32,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,2,0
