"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,584,13,10,1,5,12,3,0,1,105,1,1,100,0,0
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,84,5,4,0,2,1,0,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,84,5,4,0,2,1,0,0,1,105,1,1,100,0,0
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,584,13,10,1,5,12,3,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,584,13,10,1,5,12,3,0,1,105,1,1,100,0,0
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,84,5,4,0,2,1,0,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,84,5,4,0,2,1,0,0,1,105,1,1,100,0,0
"Álvaro Morata","Juventus","ESP","FW",NA,27,55,56,159,445,601,74,242,302,80.1,37,54,68.5,136,168,81,40,23,2,556,38,2,3,6,18,1,0,7,851,41,23,56.1,18,43.9
"Amad Diallo","Atalanta","CIV","MF",NA,18,1,3,3,9,10,90,5,5,100,1,1,100,3,4,75,1,1,0,10,0,0,0,0,0,0,0,0,14,2,0,0,2,100
"Amadou Diawara","Roma","GUI","MF",NA,23,7,39,7,362,403,89.8,138,144,95.8,42,50,84,178,200,89,1,2,0,397,6,4,1,1,0,2,0,0,457,5,5,100,0,0
"Amer Gojak","Torino","BIH","MF","FW",23,8,15,40,180,246,73.2,107,119,89.9,21,39,53.8,47,72,65.3,7,4,3,218,27,10,0,4,36,2,14,1,285,14,9,64.3,5,35.7
"Amir Rrahmani","Napoli","KVX","DF",NA,26,0,24,2,545,600,90.8,222,236,94.1,56,75,74.7,255,269,94.8,0,0,0,561,39,26,0,4,1,3,0,0,691,2,2,100,0,0
"Andrea Belotti","Torino","ITA","FW",NA,26,81,64,214,481,716,67.2,272,347,78.4,39,58,67.2,137,198,69.2,37,32,4,656,56,4,9,11,25,2,0,4,1142,81,47,58,33,40.7
"Andrea Carboni","Cagliari","ITA","DF",NA,19,19,40,18,470,610,77,175,200,87.5,48,99,48.5,239,291,82.1,4,8,6,552,55,19,0,3,22,36,0,3,749,6,3,50,3,50
