"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Finn Dahmen","Mainz 05","GER","GK",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Florian Flick","Schalke 04","GER","MF",NA,20,0,1,0,0,1,1,100,1,1,12.3,0,1,1,0,1,1,0
"Florian Grillitsch","Hoffenheim","AUT","MF","DF",24,1,3,0,0,20,9,45,0.1,0.22,19.8,0,56,47,9,7,5,2
"Florian Hübner","Union Berlin","GER","DF",NA,29,0,0,0,0,3,1,33.3,0,0,16.6,0,3,2,1,0,0,0
"Florian Kainz","Köln","AUT","MF","FW",27,0,1,0,0,9,3,33.3,0.11,0.33,18.8,0,20,9,11,2,1,1
"Florian Müller","Freiburg","GER","GK",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,11,9,2,4,3,1
"Florian Neuhaus","Gladbach","GER","MF",NA,23,5,11,0,0,49,17,34.7,0.12,0.35,24.7,2,75,59,16,11,9,2
"Florian Niederlechner","Augsburg","GER","FW",NA,29,4,9,0,0,47,18,38.3,0.11,0.28,14.5,0,29,18,11,5,4,1
"Florian Wirtz","Leverkusen","GER","MF",NA,17,6,11,0,0,31,14,45.2,0.16,0.36,17.6,0,83,66,17,9,8,1
"Frederik Rønnow","Schalke 04","DEN","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Frederik Sørensen","Köln","DEN","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Fredrik Jensen","Augsburg","FIN","FW","MF",22,1,1,0,0,5,1,20,0,0,17.8,0,11,7,4,4,1,3
"Georginio Rutter","Hoffenheim","FRA","FW",NA,18,0,1,0,0,6,3,50,0.17,0.33,15.7,0,8,7,1,0,0,0
"Gio Reyna","Dortmund","USA","MF","FW",17,5,9,0,0,38,12,31.6,0.11,0.33,16.6,0,73,44,29,10,6,4
"Gonçalo Paciência","Schalke 04","POR","FW",NA,25,1,2,0,0,22,8,36.4,0.05,0.13,16.6,1,14,6,8,3,1,2
"Gonzalo Castro","Stuttgart","GER","MF",NA,33,2,6,0,0,30,11,36.7,0.13,0.36,19.3,2,79,49,30,6,3,3
"Gregor Kobel","Stuttgart","SUI","GK",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,0
"Grischa Prömel","Union Berlin","GER","MF",NA,25,1,4,0,0,20,5,25,0.15,0.6,14.9,0,43,25,18,3,0,3
"Guus Til","Freiburg","NED","FW",NA,22,0,0,0,0,2,1,50,0,0,9.8,0,1,1,0,0,0,0
