"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Charles Aránguiz","Leverkusen","CHI","MF",NA,31,1989,21,1669,79,54.5,20,82,13,1,21,1.19,20,24,28846,1500000
"Chris Richards","Bayern Munich","USA","DF",NA,20,2000,3,89,30,2.9,1,64,0,2,13,2.33,3,1,1538,80000
"Christian Gebauer","Arminia","AUT","MF","FW",26,1993,23,687,30,22.5,5,74,1,18,18,1.17,6,17,4808,250000
"Christian Gentner","Union Berlin","GER","MF",NA,34,1985,22,1033,47,33.8,13,70,2,9,14,1.27,15,12,13077,680000
"Christian Groß","Werder Bremen","GER","MF","DF",31,1989,23,1468,64,48,17,84,9,6,6,0.96,13,31,5577,290000
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",20,1999,31,2369,76,77.4,28,81,13,3,30,1.23,42,46,7500,390000
"Christoph Kramer","Gladbach","GER","MF",NA,29,1991,28,2033,73,66.4,23,83,16,5,26,1.5,39,37,67308,3500000
"Christopher Nkunku","RB Leipzig","FRA","FW","MF",22,1997,28,1892,68,61.8,19,85,10,9,30,1.96,40,17,19231,1e+06
"Christopher Trimmel","Union Berlin","AUT","DF","FW",33,1987,31,2572,83,84.1,30,86,22,1,1,1.48,40,38,13077,680000
"Corentin Tolisso","Bayern Munich","FRA","MF",NA,25,1994,16,781,49,25.5,7,77,1,9,27,2.44,28,16,134615,7e+06
"Daichi Kamada","Eint Frankfurt","JPN","MF",NA,23,1996,32,2356,74,77,28,80,6,4,26,1.75,51,42,8269,430000
"Daley Sinkgraven","Leverkusen","NED","DF",NA,25,1995,22,1570,71,51.3,19,79,12,3,26,1.77,29,18,38462,2e+06
"Dan-Axel Zagadou","Dortmund","FRA","DF",NA,21,1999,9,276,31,9,3,68,1,6,12,1.89,6,5,4423,230000
"Dani Olmo","RB Leipzig","ESP","MF",NA,22,1998,32,2194,69,71.7,26,78,8,6,27,2,46,20,23077,1200000
"Daniel Brosinski","Mainz 05","GER","DF","FW",32,1988,21,1430,68,46.7,16,83,10,5,20,1.1,20,34,14808,770000
"Daniel Caligiuri","Augsburg","ITA","MF","FW",32,1988,33,2665,81,87.1,31,85,22,2,22,1.09,29,46,40385,2100000
"Daniel Didavi","Stuttgart","GER","MF","FW",30,1990,23,970,42,31.7,10,70,1,13,21,1.22,21,20,40385,2100000
"Daniel Ginczek","Wolfsburg","GER","FW","MF",29,1991,11,215,20,7,1,76,0,10,14,1.09,1,4,61538,3200000
