"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Gonzalo Verdú","Elche","ESP","DF",NA,33,1988,16,703,44,20.6,9,65,3,7,17,0.88,4,12,2981,155000
"Gonzalo Villar","Getafe","ESP","MF",NA,24,1998,16,457,29,13.4,3,60,0,13,21,0.88,4,5,48077,2500000
"Gorka Guruzeta","Athletic Club","ESP","FW",NA,25,1996,30,1421,47,41.5,17,68,2,13,20,1.23,16,16,4808,250000
"Guido Rodríguez","Betis","ARG","MF",NA,28,1994,34,2872,84,84,33,86,27,1,45,1.56,38,32,32692,1700000
"Haris Seferović","Celta Vigo","SUI","FW",NA,30,1992,18,887,49,25.9,10,67,0,8,28,1.11,14,11,28846,1500000
"Héctor Bellerín","Barcelona","ESP","DF",NA,27,1995,3,143,48,4.2,1,90,1,2,27,3,4,0,48077,2500000
"Helibelton Palacios","Elche","COL","DF",NA,29,1993,24,1915,80,56,23,81,16,1,45,0.63,15,41,2981,155000
"Houboulang Mendes","Almería","GNB","DF",NA,24,1998,14,886,63,25.9,11,74,4,3,25,1,12,28,5769,3e+05
"Hugo Duro","Valencia","ESP","FW",NA,22,1999,30,1385,46,40.5,12,75,6,18,27,1.13,16,20,55577,2890000
"Hugo Guillamón","Valencia","ESP","MF",NA,22,2000,25,1632,65,47.7,19,80,11,6,20,1.04,20,23,36923,1920000
"Iago Aspas","Celta Vigo","ESP","FW",NA,34,1987,37,2868,78,83.9,31,89,27,6,20,1.16,36,46,50000,2600000
"Iddrisu Baba","Mallorca","GHA","MF","DF",26,1996,29,1705,59,49.9,20,76,10,9,21,1.45,14,24,15769,820000
"Iglesias","Getafe","ESP","DF","MF",24,1998,32,2146,67,62.7,21,86,16,11,31,1.06,18,32,3462,180000
"Igor Zubeldia","Real Sociedad","ESP","DF",NA,25,1997,31,2542,82,74.3,29,86,24,2,24,1.77,35,26,38462,2e+06
"Iker Muniain","Athletic Club","ESP","MF","FW",29,1992,30,1689,56,49.4,19,77,5,11,21,1.43,29,18,42308,2200000
"Ilaix Moriba","Valencia","GUI","MF",NA,19,2003,24,1011,42,29.6,10,76,3,14,18,1.13,10,16,31154,1620000
"Iñaki Williams","Athletic Club","GHA","FW",NA,28,1994,36,2836,79,82.9,34,82,15,2,25,1.33,37,35,219231,11400000
"Íñigo Eguaras","Almería","ESP","MF",NA,30,1992,25,967,39,28.3,10,73,4,15,16,1.4,11,19,11923,620000
"Iñigo Lekue","Athletic Club","ESP","DF",NA,29,1993,20,1321,66,38.6,14,82,8,6,29,1.35,26,15,28846,1500000
"Iñigo Ruiz de Galarreta","Mallorca","ESP","MF",NA,28,1993,30,2449,82,71.6,28,87,19,2,3,1.53,29,25,12692,660000
"Isaac Carcelen","Cádiz","ESP","DF",NA,29,1993,27,2199,81,64.3,25,84,18,2,52,1.26,20,23,9231,480000
"Isaac Palazón Camacho","Rayo Vallecano","ESP","FW","MF",27,1994,37,2965,80,86.7,36,81,11,1,45,1.32,40,45,9615,5e+05
"Isco","Sevilla","ESP","MF","FW",30,1992,12,799,67,23.4,10,74,4,2,28,0.83,9,14,48077,2500000
"Iván Alejo","Cádiz","ESP","MF","FW",27,1995,31,1311,42,38.3,13,69,2,18,23,1.06,8,26,9038,470000
"Iván Fresneda","Valladolid","ESP","DF",NA,17,2004,22,1743,79,51,18,85,15,4,51,0.86,20,34,3077,160000
"Iván Martín","Girona","ESP","MF",NA,23,1999,24,1586,66,46.4,18,79,5,6,27,1.63,27,25,6731,350000
"Ivan Rakitić","Sevilla","CRO","MF",NA,34,1988,31,1788,58,52.3,21,74,10,10,24,1.42,23,25,124038,6450000
"Iván Sánchez","Valladolid","ESP","MF","FW",29,1992,25,1154,46,33.7,13,66,1,12,25,0.92,11,19,20769,1080000
"Ivo Grbić","Atlético Madrid","CRO","GK",NA,26,1996,12,922,77,27,10,89,9,2,14,1.92,28,13,16538,860000
"Jaime Mata","Getafe","ESP","FW","MF",33,1988,18,437,24,12.8,5,76,1,13,4,1.42,8,5,41154,2140000
"Jaime Seoane","Getafe","ESP","MF","FW",25,1997,16,326,20,9.5,2,59,0,14,15,1.13,2,8,10385,540000
"Jaume Costa","Mallorca","ESP","DF",NA,34,1988,32,2599,81,76,30,84,19,2,45,1.44,31,32,6346,330000
"Javi Galán","Celta Vigo","ESP","DF",NA,27,1994,37,3160,85,92.4,36,87,32,1,15,1.16,42,49,28846,1500000
"Javi Hernández","Girona","ESP","DF",NA,24,1998,25,1116,45,32.6,13,73,3,12,14,1.6,23,19,3654,190000
"Javi Puado","Espanyol","ESP","FW","MF",24,1998,37,2340,63,68.4,25,78,5,12,33,0.97,37,44,7308,380000
"Javi Sánchez","Valladolid","ESP","DF",NA,25,1997,32,2392,75,69.9,28,81,20,4,29,1.16,21,43,12692,660000
"Jawad El Yamiq","Valladolid","MAR","DF",NA,30,1992,25,1608,64,47,19,79,13,6,19,1.08,14,33,12885,670000
"Jesús Corona","Sevilla","MEX","FW",NA,29,1993,4,111,28,3.2,1,62,0,3,16,0.75,3,2,67308,3500000
"Jesús Navas","Sevilla","ESP","DF","FW",36,1985,32,1981,62,57.9,21,78,12,11,31,1.47,32,27,84615,4400000
"Jesus Vazquez","Valencia","ESP","DF","MF",19,2003,10,310,31,9.1,3,74,1,7,12,0.8,1,5,9231,480000
"Joan Jordán","Sevilla","ESP","MF",NA,28,1994,23,1592,69,46.5,19,78,11,4,28,1.26,18,28,69231,3600000
"João Félix","Atlético Madrid","POR","FW","MF",22,1999,14,650,46,19,7,74,1,7,18,1.86,11,8,280385,14580000
"Joaquín","Betis","ESP","MF","FW",41,1981,22,496,23,14.5,2,63,0,20,19,1.18,10,3,28846,1500000
