"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Tyrone Mings","Aston Villa","ENG","DF",NA,28,23,91,17,1336,1684,79.3,446,513,86.9,130,302,43,744,820,90.7,10,5,0,1615,66,47,3,8,4,18,0,3,2031,12,11,91.7,1,8.3
"Valentino Livramento","Southampton","ENG","DF",NA,18,79,80,118,864,1166,74.1,507,587,86.4,43,106,40.6,281,388,72.4,20,27,8,952,213,16,2,3,62,197,0,1,1486,55,30,54.5,25,45.5
"Victor Lindelöf","Manchester Utd","SWE","DF",NA,27,14,72,3,1215,1385,87.7,452,486,93,107,165,64.8,637,691,92.2,4,6,0,1351,32,26,4,10,0,6,0,2,1595,3,3,100,0,0
"Virgil van Dijk","Liverpool","NED","DF",NA,30,11,145,4,2376,2655,89.5,780,848,92,278,395,70.4,1298,1375,94.4,9,4,0,2575,78,71,6,18,0,7,0,2,2894,8,6,75,2,25
"Vitaliy Mykolenko","Everton","UKR","DF",NA,22,8,27,27,319,465,68.6,188,216,87,25,66,37.9,96,155,61.9,8,7,5,342,123,16,1,0,41,104,3,0,603,9,3,33.3,6,66.7
"Vitaly Janelt","Brentford","GER","MF",NA,23,25,103,60,755,1005,75.1,341,413,82.6,65,136,47.8,321,388,82.7,23,13,3,941,60,28,4,8,40,11,12,4,1253,15,13,86.7,2,13.3
"Vladimír Coufal","West Ham","CZE","DF",NA,28,51,113,119,990,1439,68.8,538,630,85.4,63,186,33.9,362,524,69.1,21,30,16,1135,294,17,0,1,107,276,1,10,1681,23,15,65.2,8,34.8
"Wesley Fofana","Leicester City","FRA","DF",NA,20,10,28,1,470,528,89,168,183,91.8,29,50,58,266,284,93.7,2,0,0,520,8,7,0,1,0,1,0,0,594,3,3,100,0,0
"Wilfred Ndidi","Leicester City","NGA","MF","DF",24,14,57,13,746,935,79.8,393,465,84.5,41,65,63.1,279,332,84,2,4,0,914,18,16,2,6,1,2,0,3,1196,17,11,64.7,6,35.3
"Wilfried Zaha","Crystal Palace","CIV","FW",NA,28,113,121,265,753,974,77.3,432,509,84.9,36,63,57.1,252,311,81,46,66,12,943,28,5,10,1,48,14,4,3,1443,152,75,49.3,77,50.7
"Will Hughes","Crystal Palace","ENG","MF",NA,26,5,38,7,436,537,81.2,206,232,88.8,31,64,48.4,184,205,89.8,9,6,2,495,42,16,0,5,35,1,23,0,653,12,8,66.7,4,33.3
"William Troost-Ekong","Watford","NGA","DF",NA,27,7,30,3,466,604,77.2,95,112,84.8,96,165,58.2,275,316,87,1,0,0,589,14,12,0,16,0,2,0,1,749,2,1,50,1,50
"Willy Boly","Wolves","CIV","DF",NA,30,6,20,0,468,558,83.9,193,209,92.3,30,67,44.8,239,268,89.2,1,0,0,548,9,8,0,1,0,1,0,1,663,6,3,50,3,50
"Wout Weghorst","Burnley","NED","FW",NA,28,7,26,81,276,434,63.6,184,260,70.8,7,11,63.6,45,71,63.4,14,7,1,430,1,0,0,1,4,1,0,3,626,23,13,56.5,10,43.5
"Yan Valery","Southampton","TUN","DF",NA,22,3,10,4,108,155,69.7,48,56,85.7,3,17,17.6,52,70,74.3,1,1,1,139,16,4,0,1,4,12,0,0,213,5,1,20,4,80
"Yoane Wissa","Brentford","COD","FW",NA,24,19,29,84,188,286,65.7,121,164,73.8,7,17,41.2,50,70,71.4,9,10,1,281,4,2,2,0,11,1,0,1,419,30,19,63.3,11,36.7
"Youri Tielemans","Leicester City","BEL","MF",NA,24,31,202,69,1451,1785,81.3,720,808,89.1,119,209,56.9,574,672,85.4,37,28,7,1683,95,49,12,21,56,14,26,7,2111,39,25,64.1,14,35.9
"Yves Bissouma","Brighton","MLI","MF",NA,24,40,92,16,1061,1193,88.9,517,556,93,87,112,77.7,419,456,91.9,8,13,0,1172,19,17,3,3,2,2,0,2,1505,51,34,66.7,17,33.3
