"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Matthieu Udol","Metz","FRA","DF",NA,24,34,21,61.7647058823529,39,39,43.6,25,5,20,39,30,0
"Naomichi Ueda","Nîmes","JPN","DF",NA,25,4,2,50,6,6,66.7,5,4,1,6,30,1
"Lesley Ugochukwu","Rennes","FRA","MF",NA,16,3,1,33.3333333333333,3,3,66.7,1,0,1,0,0,0
"Hwang Ui-jo","Bordeaux","KOR","FW","MF",27,14,6,42.8571428571429,25,25,24,17,2,15,8,14,0
"Antoine Valerio","Nîmes","FRA","MF",NA,20,0,0,NA,1,1,0,1,0,1,2,0,0
"Marco Verratti","Paris S-G","ITA","MF",NA,27,53,30,56.6037735849057,72,72,33.3,22,5,17,26,4,1
"Clément Vidal","Montpellier","FRA","DF",NA,20,2,1,50,4,4,50,4,4,0,1,6,1
"Kevin Volland","Monaco","GER","FW","MF",28,33,16,48.4848484848485,34,34,23.5,23,0,23,4,4,0
"Franklin Wadja","Lorient","CMR","MF","FW",25,4,2,50,2,2,100,0,0,0,2,1,0
"Elye Wahi","Montpellier","FRA","FW",NA,17,4,3,75,6,6,16.7,4,0,4,2,5,0
"Timothy Weah","Lille","USA","FW","MF",20,15,7,46.6666666666667,14,14,50,7,0,7,4,5,0
"Yoane Wissa","Lorient","COD","MF","FW",23,35,20,57.1428571428571,34,34,32.4,25,3,22,20,14,0
"Xeka","Lille","POR","MF",NA,25,33,17,51.5151515151515,43,43,37.2,14,2,12,20,18,0
"Yusuf Yazıcı","Lille","TUR","FW","MF",23,12,5,41.6666666666667,24,24,4.2,5,1,4,2,2,0
"Burak Yılmaz","Lille","TUR","FW",NA,35,13,6,46.1538461538462,30,30,13.3,7,0,7,5,22,0
"Wilitty Younoussa","Dijon","CMR","MF",NA,18,6,3,50,7,7,42.9,3,0,3,2,0,0
"Zaydou Youssouf","Saint-Étienne","FRA","MF",NA,21,30,15,50,40,40,40,15,0,15,25,12,1
"Arthur Zagre","Dijon","FRA","DF","MF",18,3,1,33.3333333333333,2,2,100,1,1,0,3,1,0
"Arber Zeneli","Reims","KVX","MF","FW",25,20,10,50,22,22,36.4,12,1,11,3,8,0
"Mehdi Zerkane","Bordeaux","ALG","MF","FW",21,23,15,65.2173913043478,18,18,27.8,15,2,13,9,5,0
"Kévin Zohi","Strasbourg","MLI","FW","MF",23,9,5,55.5555555555556,6,6,33.3,6,0,6,6,3,0
