"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Emirhan İlkhan","Sampdoria","TUR","MF",NA,18,0,0,0,0,0
"Ciro Immobile","Lazio","ITA","FW",NA,32,3,0,0,0,21
"Ardian Ismajli","Empoli","ALB","DF",NA,25,3,0,0,0,19
"Armando Izzo","Monza","ITA","DF",NA,30,10,0,0,0,44
"Mato Jajalo","Udinese","BIH","MF",NA,34,0,0,0,0,1
"Jesé","Sampdoria","ESP","FW",NA,29,0,0,0,0,3
"Juan Jesus","Napoli","BRA","DF",NA,31,2,0,0,0,10
"Þórir Jóhann Helgason","Lecce","ISL","MF",NA,21,0,0,0,0,2
"Luka Jović","Fiorentina","SRB","FW","MF",24,3,0,0,0,23
"Hamed Junior Traorè","Sassuolo","CIV","MF","FW",22,1,0,0,0,9
"Yayah Kallon","Hellas Verona","SLE","MF","FW",21,1,0,0,0,13
"Pierre Kalulu","Milan","FRA","DF",NA,22,4,0,0,0,24
"Yann Karamoh","Torino","FRA","MF","FW",24,2,0,0,0,11
"Rick Karsdorp","Roma","NED","DF",NA,27,0,0,0,0,4
"Denso Kasius","Bologna","NED","DF",NA,19,1,0,0,0,3
"Grigoris Kastanos","Salernitana","CYP","MF","DF",24,4,0,0,0,22
"Moise Kean","Juventus","ITA","FW",NA,22,5,1,0,1,15
"Jakub Kiwior","Spezia","POL","DF",NA,22,3,0,0,0,16
"Simon Kjær","Milan","DEN","DF",NA,33,4,0,0,0,8
"Teun Koopmeiners","Atalanta","NED","MF",NA,24,7,0,0,0,48
"Filip Kostić","Juventus","SRB","DF","FW",29,3,0,0,0,29
"Christian Kouamé","Fiorentina","CIV","FW",NA,24,5,0,0,0,32
"Viktor Kovalenko","Spezia","UKR","MF",NA,26,1,0,0,0,9
"Julian Kristoffersen","Salernitana","NOR","FW",NA,25,0,0,0,0,2
"Raimonds Krollis","Spezia","LVA","FW","DF",20,0,0,0,0,2
"Rade Krunić","Milan","BIH","MF",NA,28,8,0,0,0,16
"Marash Kumbulla","Roma","ALB","DF",NA,22,1,1,0,1,3
"Khvicha Kvaratskhelia","Napoli","GEO","FW",NA,21,1,0,0,0,20
"Giorgos Kyriakopoulos","Bologna","GRE","DF","FW",26,2,0,0,0,9
"Giorgos Kyriakopoulos","Sassuolo","GRE","FW","DF",26,3,0,0,0,9
"Sam Lammers","Sampdoria","NED","FW",NA,25,1,0,0,0,19
"Sam Lammers","Empoli","NED","FW",NA,25,0,0,0,0,6
"Kevin Lasagna","Hellas Verona","ITA","FW","MF",29,2,0,0,0,25
"Armand Lauriente","Sassuolo","FRA","FW",NA,23,10,1,1,2,22
"Valentino Lazaro","Torino","AUT","DF",NA,26,4,0,0,0,14
"Marko Lazetić","Milan","SRB","FW",NA,18,1,0,0,0,0
"Darko Lazović","Hellas Verona","SRB","MF","DF",31,0,0,0,0,8
"Manuel Lazzari","Lazio","ITA","DF",NA,28,8,0,0,0,15
"Rafael Leão","Milan","POR","FW","MF",23,7,1,1,2,20
"Mehdi Léris","Sampdoria","ALG","MF","DF",24,13,0,0,0,52
"Karol Linetty","Torino","POL","MF",NA,27,8,0,0,0,50
"Marcin Listkowski","Lecce","POL","MF","FW",24,0,0,0,0,2
"Diego Llorente","Roma","ESP","DF",NA,28,0,0,0,0,9
"Stanislav Lobotka","Napoli","SVK","MF",NA,27,2,0,0,0,25
"Manuel Locatelli","Juventus","ITA","MF",NA,24,8,0,0,0,44
"Luka Lochoshvili","Cremonese","GEO","DF",NA,24,4,0,0,0,27
"Ademola Lookman","Atalanta","NGA","FW","MF",24,3,0,0,0,24
"Maxime Lopez","Sassuolo","FRA","MF",NA,24,11,0,0,0,31
"Matteo Lovato","Salernitana","ITA","DF",NA,22,2,0,0,0,6
"Sandi Lovrić","Udinese","SVN","MF",NA,24,4,0,0,0,31
"Hirving Lozano","Napoli","MEX","FW",NA,27,3,0,0,0,27
"Jhon Lucumí","Bologna","COL","DF",NA,24,8,0,0,0,29
"José Luis Palomino","Atalanta","ARG","DF",NA,32,4,0,0,0,9
"Romelu Lukaku","Inter","BEL","FW",NA,29,1,0,0,0,16
"Saša Lukić","Torino","SRB","MF",NA,25,4,0,0,0,26
"Sebastiano Luperto","Empoli","ITA","DF",NA,25,4,2,1,3,21
