"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Davide Faraoni","Hellas Verona","ITA","DF",NA,30,3,5,0,0,20,5,25,0.1,0.4,18.6,0,28,18,10,4,2,2
"Davide Frattesi","Sassuolo","ITA","MF",NA,22,0,7,0,0,64,24,37.5,0.11,0.29,13.9,0,79,60,19,4,4,0
"Davide Zappacosta","Atalanta","ITA","DF",NA,30,2,6,0,0,25,10,40,0.16,0.4,16.6,0,39,26,13,8,5,3
"Demba Seck","Torino","SEN","MF","FW",21,0,0,0,0,10,3,30,0,0,16,0,14,12,2,1,1,0
"Denis Zakaria","Juventus","SUI","MF",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Denso Kasius","Bologna","NED","DF",NA,19,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,15,13,2,2,2,0
"Denzel Dumfries","Inter","NED","DF",NA,26,4,5,0,0,33,13,39.4,0.03,0.08,11.4,0,71,48,23,11,6,5
"Destiny Udogie","Udinese","ITA","DF",NA,19,4,7,0,0,27,7,25.9,0.11,0.43,13.7,0,88,61,27,8,7,1
"Deyovaisio Zeefuik","Hellas Verona","NED","DF",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Diego Coppola","Hellas Verona","ITA","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9,6,3,0,0,0
"Diego Demme","Napoli","GER","MF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,1,1,0
"Diego Llorente","Roma","ESP","DF",NA,28,0,0,0,0,4,1,25,0,0,11.4,0,4,4,0,0,0,0
"Diego Valencia","Salernitana","CHI","MF","FW",22,0,0,0,0,1,1,100,0,0,10,0,1,1,0,0,0,0
"Dimitris Nikolaou","Spezia","GRE","DF",NA,23,0,1,0,0,10,3,30,0.1,0.33,20.3,0,27,23,4,0,0,0
"Divock Origi","Milan","BEL","FW",NA,27,1,3,0,0,29,12,41.4,0.07,0.17,18.2,0,24,15,9,1,1,0
"Dodô","Fiorentina","BRA","DF",NA,23,3,4,0,0,11,4,36.4,0.09,0.25,20.5,0,65,58,7,5,5,0
"Domagoj Bradarić","Salernitana","CRO","DF",NA,22,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,42,34,8,5,5,0
"Domen Črnigoj","Salernitana","SVN","MF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,0,0,0
"Domenico Berardi","Sassuolo","ITA","FW",NA,27,7,19,8,7,75,19,25.3,0.07,0.26,22,4,105,78,27,17,10,7
"Duccio Degl'Innocenti","Empoli","ITA","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Dušan Vlahović","Juventus","SRB","FW",NA,22,2,12,3,2,65,20,30.8,0.12,0.4,15.5,4,45,27,18,7,3,4
