"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Christian Oliva","Valencia","URU","MF",NA,24,2,2,0,0,2,1,50,0,0,30.7,0,6,5,1,4,3,1
"Cifu","Elche","ESP","DF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Claudio Bravo","Betis","CHI","GK",NA,37,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,4,1,0,0,0
"Clément Lenglet","Barcelona","FRA","DF",NA,25,0,1,0,0,11,5,45.5,0.09,0.2,12,0,27,27,0,5,5,0
"Coke","Levante","ESP","DF",NA,33,0,0,0,0,9,2,22.2,0,0,18.1,1,7,7,0,0,0,0
"Cristian Tello","Betis","ESP","FW","MF",28,3,8,0,0,35,14,40,0.14,0.36,20.5,1,44,31,13,5,3,2
"Cristiano Piccini","Valencia","ITA","DF",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Cucho","Getafe","COL","FW","MF",21,3,5,0,0,28,11,39.3,0.07,0.18,16,1,40,31,9,6,5,1
"Damian Kądzior","Eibar","POL","FW","MF",28,0,0,0,0,5,1,20,0,0,21.9,1,4,1,3,0,0,0
"Damián Suárez","Getafe","URU","DF",NA,32,0,1,0,0,10,2,20,0.1,0.5,31.6,2,38,20,18,2,1,1
"Dani Calvo","Elche","ESP","DF",NA,26,0,2,0,0,8,4,50,0.25,0.5,10.4,0,1,1,0,0,0,0
"Dani Carvajal","Real Madrid","ESP","DF",NA,28,2,2,0,0,9,2,22.2,0,0,26.1,0,19,15,4,5,5,0
"Dani Escriche","Huesca","ESP","FW","MF",22,1,2,0,0,10,1,10,0.1,1,14.1,0,25,20,5,2,2,0
"Dani García","Athletic Club","ESP","MF",NA,30,1,1,0,0,6,1,16.7,0,0,20.5,0,20,17,3,3,3,0
"Dani Gómez","Levante","ESP","FW",NA,22,2,4,0,0,31,8,25.8,0.06,0.25,16,0,33,23,10,6,3,3
"Dani Plomer","Granada","ESP","FW",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Dani Raba","Villarreal","ESP","MF","FW",24,0,0,0,0,6,1,16.7,0,0,16.9,1,9,8,1,1,1,0
"Daniel Parejo","Villarreal","ESP","MF",NA,31,5,8,0,0,27,9,33.3,0.11,0.33,23.9,6,102,69,33,10,6,4
"Daniel Wass","Valencia","DEN","MF","DF",31,1,5,1,1,37,10,27,0.08,0.3,25.5,9,72,60,12,3,3,0
"Darío Poveda","Getafe","ESP","FW",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Darko Brašanac","Osasuna","SRB","MF",NA,28,0,2,0,0,8,4,50,0.25,0.5,17.2,0,18,15,3,1,1,0
"Darwin Machís","Granada","VEN","FW","MF",27,5,10,1,0,47,20,42.6,0.11,0.25,21.4,5,64,32,32,10,4,6
"David Ferreiro","Huesca","ESP","MF","FW",32,4,6,0,0,26,12,46.2,0.08,0.17,19.8,0,121,73,48,10,7,3
"David García","Osasuna","ESP","DF",NA,26,0,1,0,0,13,2,15.4,0.08,0.5,12.8,0,10,8,2,0,0,0
"David Gil","Cádiz","ESP","GK",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"David Silva","Real Sociedad","ESP","MF",NA,34,5,7,0,0,20,3,15,0.1,0.67,14.3,2,70,52,18,13,11,2
"David Soria","Getafe","ESP","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,5,2,1,1,0
"David Timor","Getafe","ESP","MF","DF",30,0,0,0,0,17,4,23.5,0,0,33.8,9,19,9,10,0,0,0
"Denis Cheryshev","Valencia","RUS","MF",NA,29,3,3,0,0,20,6,30,0,0,19.3,0,26,22,4,6,6,0
"Denis Suárez","Celta Vigo","ESP","MF",NA,26,9,9,0,0,16,3,18.8,0,0,23.1,1,89,56,33,15,10,5
"Denis Vavro","Huesca","SVK","DF",NA,24,0,0,0,0,8,2,25,0,0,26.9,1,8,7,1,0,0,0
"Deyverson","Alavés","BRA","FW",NA,29,3,4,0,0,14,2,14.3,0.07,0.5,16.6,0,21,15,6,4,1,3
"Diego Carlos","Sevilla","BRA","DF",NA,27,0,1,0,0,15,5,33.3,0.07,0.2,11.3,0,16,12,4,1,0,1
"Diego Costa","Atlético Madrid","ESP","FW",NA,31,0,2,1,1,4,2,50,0.25,0.5,13.4,0,9,6,3,3,2,1
"Diego González","Elche","ESP","DF",NA,25,0,1,0,0,5,2,40,0.2,0.5,11.4,0,7,6,1,0,0,0
"Diego Lainez","Betis","MEX","FW","MF",20,2,2,0,0,13,4,30.8,0,0,18.9,0,31,23,8,7,3,4
"Diego Llorente","Real Sociedad","ESP","DF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Dimitri Foulquier","Granada","FRA","DF",NA,27,4,4,0,0,8,4,50,0,0,14.4,0,39,25,14,6,4,2
"Dimitris Siovas","Huesca","GRE","DF",NA,31,0,2,0,0,29,8,27.6,0.07,0.25,11.3,0,25,18,7,1,0,1
"Djené","Getafe","TOG","DF",NA,28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,16,12,4,3,1,2
