"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Sebastian Langkamp","Werder Bremen","GER","DF",NA,31,3,0,0,0,5
"Danny Latza","Mainz 05","GER","MF",NA,29,7,0,0,0,41
"Mathew Leckie","Hertha BSC","AUS","DF","FW",28,0,0,0,0,4
"Toni Leistner","Köln","GER","DF",NA,28,3,0,0,0,16
"Christopher Lenz","Union Berlin","GER","DF","MF",24,2,0,0,0,34
"Robert Lewandowski","Bayern Munich","POL","FW",NA,30,5,0,0,0,32
"Stephan Lichtsteiner","Augsburg","SUI","DF",NA,35,5,1,1,2,14
"Philipp Lienhart","Freiburg","AUT","DF",NA,23,3,0,0,0,8
"Jürgen Locadia","Hoffenheim","CUW","FW",NA,25,1,0,0,0,7
"Ademola Lookman","RB Leipzig","NGA","FW","MF",21,0,0,0,0,8
"Eduard Löwen","Augsburg","GER","MF",NA,22,0,0,0,0,11
"Eduard Löwen","Hertha BSC","GER","MF",NA,22,0,0,0,0,4
"Jan Luca Rumpf","Paderborn 07","GER","DF",NA,20,0,0,0,0,1
"Dodi Lukebakio","Hertha BSC","BEL","FW","MF",21,2,0,0,0,26
"Andreas Luthe","Augsburg","GER","GK",NA,32,0,0,0,0,0
"Arne Maier","Hertha BSC","GER","MF",NA,20,0,0,0,0,4
"Yunus Mallı","Union Berlin","TUR","MF","FW",27,1,0,0,0,6
"Streli Mamba","Paderborn 07","GER","FW",NA,25,5,0,0,0,36
"Omar Marmoush","Wolfsburg","EGY","MF","FW",20,0,0,0,0,2
"Aarón Martín","Mainz 05","ESP","DF",NA,22,2,0,0,0,18
"Javi Martínez","Bayern Munich","ESP","DF","MF",30,5,1,1,2,12
"Omar Mascarell","Schalke 04","EQG","MF",NA,26,4,0,0,0,26
"Jean-Philippe Mateta","Mainz 05","FRA","FW",NA,22,2,1,1,2,9
"Rabbi Matondo","Schalke 04","WAL","FW","MF",18,1,0,0,0,22
"Philipp Max","Augsburg","GER","DF",NA,25,5,0,0,0,13
"Alexandru Maxim","Mainz 05","ROU","MF","DF",29,1,0,0,0,3
"Kevin Mbabu","Wolfsburg","SUI","DF",NA,24,4,0,0,0,31
"Weston McKennie","Schalke 04","USA","MF","DF",20,8,0,0,0,37
"Joshua Mees","Union Berlin","GER","MF","FW",23,1,0,0,0,5
"Admir Mehmedi","Wolfsburg","SUI","MF","FW",28,0,0,0,0,25
"Levent Mercan","Schalke 04","GER","MF","FW",18,0,0,0,0,2
"Jorge Meré","Köln","ESP","DF",NA,22,4,1,0,1,7
"Sven Michel","Paderborn 07","GER","FW",NA,29,7,0,0,0,30
"Juan Miranda","Schalke 04","ESP","DF",NA,19,2,0,0,0,11
"Maximilian Mittelstädt","Hertha BSC","GER","DF","FW",22,4,0,0,0,24
"Anthony Modeste","Köln","FRA","FW",NA,31,1,0,0,0,25
"Kevin Möhwald","Werder Bremen","GER","MF",NA,26,0,0,0,0,2
"Niklas Moisander","Werder Bremen","FIN","DF",NA,33,5,1,1,2,31
"Alfredo Morales","Düsseldorf","USA","MF",NA,29,6,0,0,0,28
"Jan Morávek","Augsburg","CZE","MF",NA,29,1,0,0,0,13
"Mateu Morey","Dortmund","ESP","DF","MF",19,0,0,0,0,3
"Nordi Mukiele","RB Leipzig","FRA","DF","FW",21,1,0,0,0,15
"Florian Müller","Mainz 05","GER","GK",NA,21,0,0,0,0,0
"Thomas Müller","Bayern Munich","GER","MF","FW",29,5,0,0,0,17
"Phillipp Mwene","Mainz 05","AUT","DF",NA,25,1,0,0,0,3
"Obite N'Dicka","Eint Frankfurt","CIV","DF",NA,19,3,0,0,0,17
"Matija Nastasić","Schalke 04","SRB","DF",NA,26,2,0,0,0,19
"Manuel Neuer","Bayern Munich","GER","GK",NA,33,0,0,0,0,0
"Florian Neuhaus","Gladbach","GER","MF",NA,22,6,0,0,0,21
"Jessic Ngankam","Hertha BSC","GER","FW","MF",19,0,0,0,0,4
"Moussa Niakhate","Mainz 05","SEN","DF",NA,23,7,0,0,0,57
"Florian Niederlechner","Augsburg","GER","FW","MF",28,1,0,0,0,46
"Christopher Nkunku","RB Leipzig","FRA","MF","FW",21,2,0,0,0,24
"Lukas Nmecha","Wolfsburg","GER","MF","FW",20,1,0,0,0,3
"Håvard Nordtveit","Hoffenheim","NOR","DF",NA,29,2,0,0,0,3
"Alexander Nübel","Schalke 04","GER","GK",NA,22,1,1,0,1,1
"Kasim Nuhu","Düsseldorf","GHA","DF",NA,24,0,0,0,0,9
"Bastian Oczipka","Schalke 04","GER","DF",NA,30,4,0,0,0,26
"Álvaro Odriozola","Bayern Munich","ESP","DF",NA,23,0,0,0,0,1
"Kelvin Ofori","Düsseldorf","GHA","MF",NA,18,0,0,0,0,0
"Kwasi Okyere Wriedt","Bayern Munich","GHA","FW",NA,25,0,0,0,0,0
"Cauly Oliveira Souza","Paderborn 07","BRA","MF","FW",23,0,0,0,0,9
"Dani Olmo","RB Leipzig","ESP","MF","FW",21,1,0,0,0,10
"Karim Onisiwo","Mainz 05","AUT","FW",NA,27,3,0,0,0,34
"Willi Orban","RB Leipzig","HUN","DF",NA,26,0,0,0,0,6
"Yuya Osako","Werder Bremen","JPN","FW","MF",29,2,0,0,0,31
"Paulo Otávio","Wolfsburg","BRA","DF",NA,24,3,0,0,0,8
"Reece Oxford","Augsburg","ENG","MF",NA,20,0,0,0,0,1
"Levin Öztunalı","Mainz 05","GER","MF","FW",23,1,0,0,0,25
"Gonçalo Paciência","Eint Frankfurt","POR","FW",NA,24,4,0,0,0,28
"Michael Parensen","Union Berlin","GER","DF",NA,33,4,0,0,0,16
"Paulinho","Leverkusen","BRA","MF","FW",19,1,0,0,0,5
"Benjamin Pavard","Bayern Munich","FRA","DF",NA,23,5,0,0,0,40
"Jiří Pavlenka","Werder Bremen","CZE","GK",NA,27,1,0,0,0,0
"Mads Pedersen","Augsburg","DEN","DF",NA,22,0,0,0,0,0
"Peter Pekarík","Hertha BSC","SVK","DF","FW",32,2,0,0,0,7
"Philipp Pentke","Hoffenheim","GER","GK",NA,34,1,0,0,0,0
"Ivan Perišić","Bayern Munich","CRO","FW","MF",30,1,0,0,0,18
"Pavao Pervan","Wolfsburg","AUT","GK",NA,31,0,0,0,0,0
"Nils Petersen","Freiburg","GER","FW","MF",30,1,0,0,0,10
"Krzysztof Piątek","Hertha BSC","POL","FW",NA,24,2,0,0,0,23
"Ronaël Pierre-Gabriel","Mainz 05","FRA","DF",NA,21,3,0,0,0,5
"Łukasz Piszczek","Dortmund","POL","DF",NA,34,3,0,0,0,18
"Claudio Pizarro","Werder Bremen","PER","FW","MF",40,0,0,0,0,2
"Marvin Plattenhardt","Hertha BSC","GER","DF",NA,27,1,0,0,0,11
"Alassane Pléa","Gladbach","FRA","FW",NA,26,4,2,2,4,24
"Thomas Pledl","Düsseldorf","GER","MF","FW",25,0,0,0,0,1
"Joel Pohjanpalo","Leverkusen","FIN","MF",NA,24,0,0,0,0,0
"Sebastian Polter","Union Berlin","GER","FW",NA,28,1,1,0,1,10
"Marin Pongračić","Wolfsburg","CRO","DF",NA,21,4,1,0,1,17
"Stefan Posch","Hoffenheim","AUT","DF",NA,22,9,0,0,0,38
"Yussuf Poulsen","RB Leipzig","DEN","FW",NA,25,2,0,0,0,29
"Kai Pröger","Paderborn 07","GER","MF","FW",27,0,0,0,0,12
"Grischa Prömel","Union Berlin","GER","MF",NA,24,2,0,0,0,21
"Robin Quaison","Mainz 05","SWE","FW","MF",25,2,0,0,0,25
"Raffael","Gladbach","BRA","MF","FW",34,0,0,0,0,1
"Benito Raman","Schalke 04","BEL","FW",NA,24,2,0,0,0,19
