"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Edmond Tapsoba","Leverkusen","BFA","DF",NA,20,4,37,0,1017,1116,91.1,259,284,91.2,132,169,78.1,616,639,96.4,1,0,0,1082,32,29,0,4,0,3,0,2,1229,10,6,60,4,40
"Eduard Löwen","Hertha BSC","GER","MF",NA,22,7,12,2,117,148,79.1,56,67,83.6,16,27,59.3,42,49,85.7,0,2,0,143,5,4,1,2,2,0,1,0,333,23,11,47.8,12,52.2
"Eduard Löwen","Hertha BSC","GER","MF",NA,22,7,12,2,117,148,79.1,56,67,83.6,16,27,59.3,42,49,85.7,0,2,0,143,5,4,1,2,2,0,1,0,189,9,9,100,0,0
"Eduard Löwen","Augsburg","GER","MF",NA,22,9,17,23,117,148,79.1,56,67,83.6,16,27,59.3,42,49,85.7,0,2,0,201,33,16,0,1,22,0,16,5,333,23,11,47.8,12,52.2
"Eduard Löwen","Augsburg","GER","MF",NA,22,9,17,23,117,148,79.1,56,67,83.6,16,27,59.3,42,49,85.7,0,2,0,201,33,16,0,1,22,0,16,5,189,9,9,100,0,0
"Eduard Löwen","Hertha BSC","GER","MF",NA,22,7,12,2,117,148,79.1,56,67,83.6,16,27,59.3,42,49,85.7,0,2,0,201,33,16,0,1,22,0,16,5,333,23,11,47.8,12,52.2
"Eduard Löwen","Hertha BSC","GER","MF",NA,22,7,12,2,117,148,79.1,56,67,83.6,16,27,59.3,42,49,85.7,0,2,0,201,33,16,0,1,22,0,16,5,189,9,9,100,0,0
"Eduard Löwen","Augsburg","GER","MF",NA,22,9,17,23,143,239,59.8,70,101,69.3,23,48,47.9,37,58,63.8,12,1,0,201,33,16,0,1,22,0,16,5,333,23,11,47.8,12,52.2
"Eduard Löwen","Augsburg","GER","MF",NA,22,9,17,23,143,239,59.8,70,101,69.3,23,48,47.9,37,58,63.8,12,1,0,201,33,16,0,1,22,0,16,5,189,9,9,100,0,0
"Eduard Löwen","Augsburg","GER","MF",NA,22,9,17,23,143,239,59.8,70,101,69.3,23,48,47.9,37,58,63.8,12,1,0,143,5,4,1,2,2,0,1,0,333,23,11,47.8,12,52.2
"Eduard Löwen","Augsburg","GER","MF",NA,22,9,17,23,143,239,59.8,70,101,69.3,23,48,47.9,37,58,63.8,12,1,0,143,5,4,1,2,2,0,1,0,189,9,9,100,0,0
