"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,99,2,2,0,3,0,0,0,0,143,7,3,42.9,4,57.1
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,99,2,2,0,3,0,0,0,0,890,29,19,65.5,10,34.5
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,99,2,2,0,3,0,0,0,0,143,7,3,42.9,4,57.1
"Antonio Barragán","Elche","ESP","DF",NA,34,7,41,30,423,542,78,182,206,88.3,42,87,48.3,182,223,81.6,2,4,2,421,121,36,0,6,33,81,4,0,635,1,0,0,1,100
"Antonio Blanco","Real Madrid","ESP","MF",NA,21,1,1,0,18,20,90,7,8,87.5,2,2,100,7,7,100,0,0,0,20,0,0,0,0,0,0,0,0,25,1,1,100,0,0
"Antonio Puertas","Granada","ESP","MF","FW",29,51,54,126,482,690,69.9,278,349,79.7,35,65,53.8,139,190,73.2,18,18,8,651,36,2,3,5,42,31,2,3,989,56,31,55.4,25,44.6
"Antonio Raillo","Mallorca","ESP","DF",NA,29,15,50,0,532,624,85.3,194,210,92.4,70,115,60.9,256,277,92.4,0,1,0,591,31,30,0,7,1,1,0,2,790,1,0,0,1,100
"Antonio Sánchez","Mallorca","ESP","MF","FW",24,24,66,50,519,670,77.5,284,322,88.2,56,96,58.3,156,194,80.4,9,9,1,644,26,10,1,3,16,3,0,0,942,34,18,52.9,16,47.1
"Aridane Hernández","Osasuna","ESP","DF",NA,32,1,32,1,430,540,79.6,121,142,85.2,61,103,59.2,240,282,85.1,2,2,1,524,15,14,0,7,1,1,0,1,671,3,2,66.7,1,33.3
"Aritz Elustondo","Real Sociedad","ESP","DF",NA,27,20,85,12,989,1184,83.5,339,386,87.8,112,180,62.2,525,588,89.3,1,2,0,1107,76,34,1,8,5,42,0,1,1392,7,6,85.7,1,14.3
"Arnaut Danjuma","Villarreal","NED","FW",NA,24,71,27,172,278,380,73.2,195,227,85.9,12,25,48,53,82,64.6,15,14,4,352,26,0,1,4,27,3,13,2,549,61,33,54.1,28,45.9
"Asier Illarramendi","Real Sociedad","ESP","MF",NA,31,0,19,5,252,292,86.3,125,134,93.3,20,30,66.7,101,114,88.6,4,1,0,279,13,11,0,1,5,1,1,0,341,7,3,42.9,4,57.1
"Asier Villalibre","Athletic Club","ESP","FW",NA,23,12,3,49,70,120,58.3,46,59,78,0,5,0,17,31,54.8,3,1,0,113,3,0,1,0,4,1,0,4,182,5,4,80,1,20
"Augusto Solari","Celta Vigo","ARG","MF","DF",29,15,18,53,286,446,64.1,171,211,81,14,52,26.9,85,135,63,6,6,5,413,30,3,1,1,49,23,4,3,555,20,9,45,11,55
