"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Jean-Kevin Duverne","Nantes","HAI","DF",NA,26,5,0,0,0,29
"Aron Dønnum","Toulouse","NOR","FW","MF",25,8,0,0,0,31
"Simon Ebonog","Le Havre","CMR","MF",NA,18,0,0,0,0,0
"Simon Elisor","Metz","FRA","FW",NA,24,1,0,0,0,17
"Breel Embolo","Monaco","SUI","FW",NA,26,0,0,0,0,3
"Emanuel Emegha","Strasbourg","NED","FW",NA,20,3,0,0,0,26
"Maxime Estève","Montpellier","FRA","DF",NA,21,2,0,0,0,11
"Oscar Estupiñan","Metz","COL","FW",NA,26,0,0,0,0,6
"Romain Faivre","Lorient","FRA","MF","FW",25,1,0,0,0,5
"Ilhan Fakili","Clermont Foot","FRA","MF","FW",17,0,0,0,0,1
"Khalil Fayad","Montpellier","FRA","FW","MF",19,2,0,0,0,22
"Jordan Ferri","Montpellier","FRA","MF",NA,31,6,0,0,0,48
"Malick Fofana","Lyon","BEL","FW",NA,18,0,0,0,0,3
"Youssouf Fofana","Monaco","FRA","MF",NA,24,3,0,0,0,37
"Thomas Foket","Reims","BEL","DF",NA,28,9,1,1,2,26
"Przemysław Frankowski","Lens","POL","DF",NA,28,4,0,0,0,33
"Angelo Fulgini","Lens","FRA","MF",NA,26,1,0,0,0,8
"Kévin Gameiro","Strasbourg","FRA","FW","MF",36,0,0,0,0,3
"Ignatius Ganago","Nantes","CMR","FW","MF",24,0,0,0,0,2
"Ulisses Garcia","Marseille","SUI","DF",NA,27,0,0,0,0,15
"Johan Gastien","Clermont Foot","FRA","MF",NA,35,7,0,0,0,31
"Yann Gboho","Toulouse","FRA","MF","FW",22,1,0,0,0,9
"Gelabert","Toulouse","ESP","MF","FW",22,1,0,0,0,10
"Denis Genreau","Toulouse","AUS","MF","FW",24,0,0,0,0,9
"Samuel Gigot","Marseille","FRA","DF",NA,29,7,1,0,1,21
"Aleksandr Golovin","Monaco","RUS","MF","FW",27,8,1,0,1,25
"Angel Gomes","Lille","ENG","MF",NA,22,5,0,0,0,31
"Maxime Gonalons","Clermont Foot","FRA","MF",NA,34,4,0,0,0,28
"Amine Gouiri","Rennes","ALG","FW","MF",23,2,0,0,0,27
"Jonathan Gradit","Lens","FRA","DF",NA,30,9,1,0,1,31
"Samuel Grandsir","Le Havre","FRA","MF","FW",26,4,2,1,3,18
"Adrian Grbić","Lorient","AUT","FW",NA,26,0,0,0,0,0
"Gabriel Gudmundsson","Lille","SWE","DF","FW",24,2,0,0,0,21
"Axel Gueguin","Montpellier","FRA","DF","FW",18,0,0,0,0,0
"Mattéo Guendouzi","Marseille","FRA","MF",NA,24,0,0,0,0,0
"Evann Guessand","Nice","CIV","FW",NA,22,1,0,0,0,32
"Pape Gueye","Marseille","SEN","MF","DF",24,2,0,0,0,20
"Morgan Guilavogui","Lens","GUI","FW","MF",25,1,0,0,0,14
"Frederic Guilbert","Strasbourg","FRA","DF","MF",28,3,0,0,0,35
"Jaouen Hadjam","Nantes","ALG","DF",NA,20,0,0,0,0,4
"Massadio Haïdara","Lens","MLI","DF",NA,30,1,0,0,0,11
"Oualid El Hajjam","Le Havre","MAR","DF","MF",32,1,0,0,0,13
"Achraf Hakimi","Paris S-G","MAR","DF",NA,24,3,0,0,0,22
"Amine Harit","Marseille","MAR","MF","FW",26,5,0,0,0,19
"Silvan Hefti","Montpellier","SUI","DF","FW",25,1,0,0,0,5
"Henrique","Lyon","BRA","DF",NA,29,2,0,0,0,7
"Christophe Hérelle","Metz","MTQ","DF",NA,30,4,1,0,1,14
